id,provide grants,website,entity_name,theme_name,ceo_email,staff_email,board_email,notes,lat,long,address,city,state,zip_code,contact phone,category,sector,group_name,abreviation,provider_numger,provider_type,provider_subtype,facility_control,grade_levels,school_type
E1,Provide Grants,,mount baker kidney foundation,dialysis patients|community building|children and families|medical access|neighborhood|resilience|housing|learning and education|employment|community health worker network,squinn@barronsmithlaw.com,debbie@mtbakerkidney.org,blflyfish@msn.com,,,,,,,,,Foundation,,,,,,,,,
E2,Provide Grants,http://www.whatcomcf.org/,whatcom community foundation,community building,,,,,,,,,,,,Foundation,NGO,,WCF,,,,,,
E3,Provide Grants,http://www.chuckanuthealthfoundation.org/,chuckanut foundation,health,,,,,,,,,,,,Foundation,,,,,,,,,
E4,Provide Grants,http://www.unitedwaywhatcom.org/,united way of whatcom county,children and families,,,,,,,,,,,,Foundation,,,,,,,,,
E5,Fund Programs,http://www.northsoundach.org/,north sound accountable community of health,health,,,,,,,,,,,,Association,,,NSACH,,,,,,
E6,Provide Grants,http://wfcn.org/,whatcom family and community network,children and families|community building|cultural inclusion|food|fittness parks and recreation|neighborhoods|neighbors|learning and education|youth|resilience|mental health|addiction and recovery|music,,,,,,,,,,,,Foundation,,,WFCN,,,,,,
E7,Fund Programs,http://www.whatcomcounty.us/360/Health-Department,whatcom county health department,health,,,,,,,,,,,,County Government,GOVERNMENT - COUNTY,,,,,,,,
E8,,http://whatcomalliance.org/,whatcom alliance for health advancement,health,,,,,,,,,,,,Whatcom Aliance for Health Advancement,,,,,,,,,
E9,Grant Recipent,http://www.bellinghamschoolsfoundation.org/,bellingham public schools foundation,youth,,,,,,,,,,,,Foundation,,,,,,,,,
E10,Grant Recipent,https://www.oppco.org/about/,whatcom opportunity council,children and families|housing|employment|food and nutrition|learning and education|basic needs|child care|infants and toddlers|disability|energy|health|homeless|veterans|job skills|money management|preschool|home,,,,,,,1418 Cornwall Avenue,Belingham,WA,98225,,Municipal Government,GOVERNMENT - MUNICIPAL,,,,,,,,
E11,Grant Recipent,http://wccoa.org/index.php/Home/,whatcom council on aging,elders,,,,,,,,,,,,,,,,,,,,,
E12,Grant Recipent,http://arcwhatcom.org/,arc of whatcom county,disability,,,,,,,,,,,,,,,,,,,,,
E13,Grant Recipent,http://www.maxhigbee.org/,max higbee center,disability,,,,,,,,,,,,,,,,,,,,,
E14,Grant Recipent,https://www.hsdc.org/about-us/,hearing speech and deaf center,disability,,,,,,,,,,,,,,,,,,,,,
E15,Grant Recipent,http://whatcomliteracy.org/,whatcom literacy council,learning and education,,,,,,,,,,,,,,,,,,,,,
E16,Grant Recipent,http://www.boatingcenter.org/,bellingham bay community boating center,children and families|outdoors,,,,,,,,,,,,,,,,,,,,,
E17,Grant Recipent,http://www.brigidcollins.org/,brigid collins family support center,children and families,,,,,,,,,,,,,,,,,,,,,
E18,Grant Recipent,http://www.whatcomymca.org/,whatcom family ymca,children and families|sport,,,,,,,,,,,,,,,,,,,,,
E19,Grant Recipent,https://www.nwys.org/,northwest youth services,youth,,,,,,,,,,,,,,,,,,,,,
E20,Grant Recipent,http://www.wildwhatcom.org/,wild whatcom,children and families|outdoors|environment,,,,,,,,,,,,,,,,,,,,,
E21,Grant Recipent,https://www.recreationnorthwest.org/,recreation northwest,recreation,,,,,,,,,,,,,,,,,,,,,
E22,Grant Recipent,https://ncascades.org/,north cascades institute,outdoors|sport,,,,,,,,,,,,,,,,,,,,,
E23,Grant Recipent,https://wmbcmtb.org/,whatcom mountain bike coalition,sport,,,,,,,,,,,,,,,,,,,,,
E24,Grant Recipent,http://www.mbys.org/,mount baker youth symphony,music|art|youth,,,,,,,,,,,,,,,,,,,,,
E25,Grant Recipent,http://www.alliedarts.org/,allied arts of whatcom county,art,,,,,,,,,,,,,,,,,,,,,
E26,Grant Recipent,http://www.pickfordfilmcenter.org/,pickford film center,art,,,,,,,,,,,,,,,,,,,,,
E27,Grant Recipent,http://sylviacenterforthearts.org/,sylvia center for the arts,art,,,,,,,,,,,,,,,,,,,,,
E28,Grant Recipent,http://lydiaplace.org/,lydia place,housing|children and families,,,,,,,,,,,,,,,,,,,,,
E29,Grant Recipent,https://www.mercyhousing.org/washington,mercy housing northwest,housing,,,,,,,,,,,,,,,,,,,,,
E30,Grant Recipent,http://www.hfhwhatcom.org/,habitat for humanity in whatcom county,housing,,,,,,,,,,,,,,,,,,,,,
E31,Grant Recipent,http://main.realchangenews.org/,real change homeless empowerment project,housing|employment,,,,,,,,,,,,,,,,,,,,,
E32,Grant Recipent,http://growingveterans.org/,growing veterans,veterans|food|economy,,,,,,,,,,,,,,,,,,,,,
E33,Grant Recipent,https://seattlegoodwill.org/locations/5,seattle goodwill industries,economy,,,,,,,,,,,,,,,,,,,,,
E34,Grant Recipent,https://sustainableconnections.org/,sustainable connections,economy,,,,,,,,,,,,,,,,,,,,,
E35,Grant Recipent,http://killerwhaletales.org/,killer whale tales for salish sea experience,environment|conservation,,,,,,,,,,,,,,,,,,,,,
E36,Grant Recipent,http://www.n-sea.org/,nooksack salmon enhancement association,environment,,,,,,,,,,,,,,,,,,,,,
E37,Grant Recipent,http://www.re-sources.org/,re sources for sustainable communities,sustainability|ecology,,,,,,,,,,,,,,,,,,,,,
E38,Grant Recipent,http://whatcomhumane.org/,whatcom humane society,animals,,,,,,,,,,,,,,,,,,,,,
E39,Grant Recipent,http://www.whatcomlandtrust.org/,whatcom land trust,environment,,,,,,,,,,,,,,,,,,,,,
E40,,http://www.uhccommunityplan.com/community-partners/wa.html,united health care community plan,medical access|managed care|health insurance,,,,,,,,,,,,Health Insurance | MCO,FOR PROFIT CORPORATION,,,,,,,,
E41,,,communtiy health plan of washington,medical access|managed care|health insurance,,,,,,,,,,,,Health Insurance | MCO,FOR PROFIT CORPORATION,,,,,,,,
E42,,,ameirgroup,medical access|managed care|health insurance,,,,,,,,,,,,Health Insurance | MCO,FOR PROFIT CORPORATION,,,,,,,,
E43,,,molina healthcare,medical access|managed care|health insurance,,,,,,,,,,,,Health Insurance | MCO,FOR PROFIT CORPORATION,,,,,,,,
E44,,,coordinated care corporation centene,medical access|managed care|health insurance,,,,,,,,,,,,Health Insurance | MCO,FOR PROFIT CORPORATION,,,,,,,,
E45,,,group health,medical access|health insurance,,,,,,,,,,,,Health Insurance,FOR PROFIT CORPORATION,,,,,,,,
E46,,,lynden family medicine,medical access,,,,,,,1610 Grover St #D-1,,WA,98264,,Whatcom Medical Service Provider,FOR PROFIT CORPORATION,,,"503,902",Rural Health Clinic,Rural Health Clinics,FOR PROFIT CORPORATION,,
E47,,,ferndale family medical center,medical access,,,,,,,5580 Nordic Way,,WA,98248,,Whatcom Medical Service Provider,FOR PROFIT CORPORATION,Family Care Network,,"503,903",Rural Health Clinic,Rural Health Clinics,FOR PROFIT CORPORATION,,
E48,,,everson family medicine,medical access,,,,,,,407 E Main St,,WA,98247,,Whatcom Medical Service Provider,FOR PROFIT CORPORATION,Family Care Network,,"503,904",Rural Health Clinic,Rural Health Clinics,FOR PROFIT CORPORATION,,
E49,,,birch bay family medicine,medical access,,,,,,,8097 Harborview Rd,,WA,98230,,Whatcom Medical Service Provider,FOR PROFIT CORPORATION,Family Care Network,,"503,905",Rural Health Clinic,Rural Health Clinics,FOR PROFIT CORPORATION,,
E50,,,alderwood park health and rehabilitation,medical access,,,,,,,2726 Alderwood Avenue,,WA,98225,,Whatcom Medical Service Provider,,,,"505,092",Skilled Nursing Facility/Nursing Facility (Distinct Part),Title 18/19,,,
E51,,,shuksan healthcare center,medical access,,,,,,,1530 James Street,,WA,98225,,Whatcom Medical Service Provider,,,,"505,098",Skilled Nursing Facility/Nursing Facility (Dually Certified),Title 18/19,,,
E52,,,highland health and rehabillitation,medical access,,,,,,,2400 Samis Way,,WA,98225,,Whatcom Medical Service Provider,,,,"505,140",Skilled Nursing Facility/Nursing Facility (Dually Certified),Title 18/19,,,
E53,,,ava ree bellingham health care and rehab services,medical access,,,,,,,1200 Birchwood Avenue,,WA,98225,,Whatcom Medical Service Provider,,,,"505,223",Skilled Nursing Facility/Nursing Facility (Dually Certified),Title 18/19,,,
E54,,,saint francis of bellingham,medical access,,,,,,,3121 Squalicum Parkway,,WA,98225,,Whatcom Medical Service Provider,,,,"505,296",Skilled Nursing Facility/Nursing Facility (Dually Certified),Title 18/19,,,
E55,,,mount baker care center,medical access,,,,,,,2905 Connelly Ave ,,WA,98225,,Whatcom Medical Service Provider,,,,"505,376",Skilled Nursing Facility/Nursing Facility (Dually Certified),Title 18/19,,,
E56,,,north cascades health and rehabilitation center,medical access,,,,,,,4680 Cordata Parkway,,WA,98226,,Whatcom Medical Service Provider,,,,"505,393",Skilled Nursing Facility/Nursing Facility (Dually Certified),Title 18/19,,,
E57,,,stafford good samaritan center,medical access,,,,,,,456 C Street,Blaine,WA,98230,,Whatcom Medical Service Provider,,,,"505,395",Skilled Nursing Facility/Nursing Facility (Dually Certified),Title 18/19,,,
