id,theme_name,program_name,program_description,program_website,entity_name,granting_entity_name,creating_entity_name,impacted,person_working_on_program,recipient_website,contact_phone,intent
program_id_1,medical access|children and families|community health worker network,whatcom chw network*,,,whatcom alliance for healthcare advancement,mount baker kidney foundation,whatcom alliance for healthcare advancement,,James Marcus Pierson,,,
program_id_2,medical access|neighborhood|community health worker network,whatcom chw network*,,,northwest regional council,mount baker kidney foundation,whatcom alliance for healthcare advancement,,James Marcus Pierson,,,
program_id_3,"
children and families|health|addiction and recovery",whatcom ontrack*,,,whatcom family and community network,mount baker kidney foundation,mount baker kidney foundation,,James Marcus Pierson,,,
program_id_4,art,allied arts of whatcom county (unspecified),,,allied arts of whatcom county,whatcom community foundation,,,,http://www.alliedarts.org/,360-676-8548,
program_id_5,disability,arc of whatcom county (unspecified),,,arc of whatcom county,whatcom community foundation,,,,http://arcwhatcom.org/,,
program_id_6,children and families,bellingham bay community boating center (unspecified),,,bellingham bay community boating center,whatcom community foundation,,,,http://www.boatingcenter.org/,,S
program_id_7,children and families,brigid collins family support center (unspecified),,,brigid collins family support center,whatcom community foundation,,,,http://www.brigidcollins.org/,,S
program_id_8,veterans,growing veterans (unspecified),,,growing veterans,whatcom community foundation,,,,http://growingveterans.org/,,
program_id_9,housing,habitat for humanity in whatcom county (unspecified),,,habitat for humanity in whatcom county,whatcom community foundation,,,,http://www.hfhwhatcom.org/,,
program_id_10,disability,hearing speech and deaf center (unspecified),,,hearing speech and deaf center,whatcom community foundation,,,,https://www.hsdc.org/about-us/,,
program_id_11,environment|conservation,killer whale tales for salish sea experience (unspecified),,,killer whale tales for salish sea experience,whatcom community foundation,,,,http://killerwhaletales.org/,,
program_id_12,children and families|housing,lydia place (unspecified),,,lydia place,whatcom community foundation,,,,http://lydiaplace.org/,,
program_id_13,disability|fitness parks and recreation,max higbee center (unspecified),,,max higbee center,whatcom community foundation,,,,http://www.maxhigbee.org/,,
program_id_14,housing,mercy housing northwest (unspecified),,,mercy housing northwest,whatcom community foundation,,,,https://www.mercyhousing.org/washington,,
program_id_15,youth|art|music,mount baker youth symphony (unspecified),,,mount baker youth symphony,whatcom community foundation,,,,http://www.mbys.org/,,
program_id_16,environment,nooksack salmon enhancement association (unspecified),,,nooksack salmon enhancement association,whatcom community foundation,,,,http://www.n-sea.org/,,
program_id_17,children and families|youth,opportunity council department of early learning and family services (unspecified),,,whatcom opportunity council,whatcom community foundation,,,,https://www.oppco.org/,,
program_id_18,art,pickford film center (unspecified),,,pickford film center,whatcom community foundation,,,,http://www.pickfordfilmcenter.org/,,
program_id_19,ecology|sustainability,re sources for sustainable communities (unspecified),,,re sources for sustainable communities,whatcom community foundation,,,,http://www.re-sources.org/,,
program_id_20,housing|employment,real change homeless empowerment project (unspecified),,,real change homeless empowerment project,whatcom community foundation,,,,http://main.realchangenews.org/,,
program_id_21,outdoors|fitness parks and recreation,recreation northwest (unspecified),,,recreation northwest,whatcom community foundation,,,,https://www.recreationnorthwest.org/,,
program_id_22,economy,seattle goodwill industries (unspecified),,,seattle goodwill industries,whatcom community foundation,,,,https://seattlegoodwill.org/locations/5,,
program_id_23,economy,sustainable connections (unspecified),,,sustainable connections,whatcom community foundation,,,,https://sustainableconnections.org/,,
program_id_24,art,sylvia center for the arts (unspecified),,,sylvia center for the arts,whatcom community foundation,,,,http://sylviacenterforthearts.org/,,
program_id_25,animals,whatcom humane society (unspecified),,,whatcom humane society,whatcom community foundation,,,,http://whatcomhumane.org/,,
program_id_26,environment,whatcom land trust (unspecified),,,whatcom land trust,whatcom community foundation,,,,http://www.whatcomlandtrust.org/,,
program_id_27,learning,whatcom literacy council (unspecified),,,whatcom literacy council,whatcom community foundation,,,,http://whatcomliteracy.org/,,
program_id_28,children and families|outdoores|environment,wild whatcom (unspecified),,,wild whatcom,whatcom community foundation,,,,http://www.wildwhatcom.org/,,
program_id_29,sport,whatcom mountain bike coalition (unspecified),,,whatcom mountain bike coalition,whatcom community foundation,,,,https://wmbcmtb.org/,,
